Asset name,Asset URL,Deprecated,Purchased Date,Last updated,Version
"Baghdad - Medieval Islamic City Modular Environment Pack","https://assetstore.unity.com/packages/slug/364206","","2026-07-02","2026-04-09","1.0"
"Skinned Mesh Transfer","https://assetstore.unity.com/packages/slug/219764","","2026-06-06","2022-04-16","1.0"
"Starter Assets - ThirdPerson | URP","https://assetstore.unity.com/packages/slug/196526","","2026-06-06","2026-03-16","1.1.7"
"Stylized Fantasy Warrior Outfit","https://assetstore.unity.com/packages/slug/339584","","2026-06-06","2025-10-14","1.0"
"Stylized Medieval Ranger Outfit","https://assetstore.unity.com/packages/slug/338016","","2026-06-06","2025-10-06","1.0"
"Stylized Fantasy Medieval Bundle","https://assetstore.unity.com/packages/slug/339658","","2026-06-06","2025-12-22","1.01"
"FREE Starter Pack - Sidekick Modular Characters by Synty","https://assetstore.unity.com/packages/slug/336970","","2025-12-27","2026-01-29","1.0.4"
"JU TPS 3 - Third Person Shooter GameKit + Vehicle Physics","https://assetstore.unity.com/packages/slug/251334","","2025-12-09","2026-06-07","3.3.9"
"Modular Destroyed Buildings (Modular House, Houses, Modular Building)","https://assetstore.unity.com/packages/slug/288447","","2025-12-06","2024-09-25","1.0"
"Medieval Furniture Props (Gothic Props, Victorian Props, Medieval, Furniture)","https://assetstore.unity.com/packages/slug/333978","","2025-12-06","2025-09-19","1.0"
"Stylized Nature (Nature, Forest, Stylized Forest, Forest Pack, Nature Pack)","https://assetstore.unity.com/packages/slug/268121","","2025-12-06","2024-02-05","1.2"
"Modular Medieval Town (Medieval Town, Medieval Village)","https://assetstore.unity.com/packages/slug/295251","","2025-12-06","2024-10-25","1.0"
"Modular Medieval Fantasy Village (Medieval Village, Medieval Town, Town)","https://assetstore.unity.com/packages/slug/288445","","2025-12-06","2024-10-17","1.0"
"Modular Dungeon: Temple Of Cthulhu (Dungeon, Modular Dungeon, Temple, Dungeons)","https://assetstore.unity.com/packages/slug/306635","","2025-12-06","2025-06-18","1.0"
"Modular Houses (Modular Medieval Houses, House, Fantasy Houses, Prefab Houses)","https://assetstore.unity.com/packages/slug/333982","","2025-12-06","2025-09-25","1.0"
"Abandoned Factory (Factory, Warehouse, Industrial Factory, Industrial Warehouse)","https://assetstore.unity.com/packages/slug/268120","","2025-12-06","2023-12-20","1.0"
"Sundown:Shop/Store (Modular Shop, Supermarket, Convenience Store)","https://assetstore.unity.com/packages/slug/338930","","2025-12-06","2025-10-13","1.0"
"Modular Dungeon - Dungeon Building Kit (Dungeon, Dungeons, Catacomb, Tunnels)","https://assetstore.unity.com/packages/slug/264856","","2025-12-06","2023-12-05","1.0"
"Modular Castle & Dungeon (Medieval Castle, Castles, Dungeons, Dungeon, Castle)","https://assetstore.unity.com/packages/slug/271318","","2025-12-06","2025-08-04","2.1"
"Modular Dark Fantasy Graveyard (Cemetery, Horror Cemetery, Horror Graveyard)","https://assetstore.unity.com/packages/slug/300192","","2025-12-06","2024-11-18","1.0"
"Modular Medieval Town - Medieval Town","https://assetstore.unity.com/packages/slug/264852","","2025-12-06","2024-10-17","2.1"
"Modular Sci Fi Outpost (Sci Fi Outpost, Sci Fi Base, Sci Fi , Outpost, Base)","https://assetstore.unity.com/packages/slug/335830","","2025-12-06","2025-09-30","1.0"
"Post Apocalyptic Town (Town, Modular Town, Post Apocalypse, Sci-Fi, Wasteland)","https://assetstore.unity.com/packages/slug/288838","","2025-12-06","2025-03-04","2.1"
